,x,y,aperture
0,40.3472,31.1222,0.000881745
1,40.7203,30.8086,0.000821853
2,40.0435,31.1091,0.000864143
3,40.3666,30.8205,0.000847033
4,40.7332,30.5302,0.000819006
5,39.6332,31.0558,0.000799599
6,39.9836,30.7974,0.000779769
7,39.7032,30.9135,0.000780889
8,40.3899,30.4487,0.000961486
9,39.6442,30.8095,0.000838627
10,40.0551,30.4488,0.000884716
11,40.6855,30.116,0.000783932
12,40.3854,30.1416,0.001064611
13,39.5903,30.4176,0.000818322
14,40.8056,29.7297,0.000749777
15,40.0375,30.0777,0.000884233
16,39.3452,30.4334,0.000782667
17,40.3716,29.7641,0.00079819
18,39.6966,30.0544,0.000834612
19,40.0705,29.8433,0.000896658
20,40.8518,29.4298,0.000721501
21,40.4466,29.4283,0.000782965
22,39.7138,29.7565,0.000750832
23,40.924,29.1066,0.000739929
24,39.0612,30.0491,0.000662321
25,39.9474,29.3894,0.000513753
26,39.2618,29.7205,0.000415851
27,40.8893,28.8035,0.000662571
28,40.3689,29.063,0.000492795
29,39.6267,29.3899,0.000492
30,39.9452,29.0324,0.000362516
31,40.4362,28.7248,0.000462733
32,39.2164,29.3395,0.000278913
33,39.2403,29.2178,0.00016737
34,39.6195,29.0113,0.000443757
35,38.7247,29.4591,0.000620103
36,38.9362,29.3496,0.000447306
37,40.7124,28.3583,0.000400894
38,39.9424,28.6704,0.0002797
39,39.2569,28.998,0.000351574
40,40.3372,28.3433,0.000315501
41,39.6485,28.6306,0.000521814
42,40.7458,28.0426,0.000357282
43,38.8253,28.9922,0.000461767
44,39.9913,28.3387,0.000464379
45,39.3166,28.6452,0.000479531
46,40.3462,28.0601,0.00037615
47,39.6938,28.387,0.000639375
48,38.4496,28.9863,0.000532187
49,40.8353,27.69,0.000549571
50,38.9679,28.6551,0.000551139
51,39.363,28.3792,0.000555505
52,39.977,28.0056,0.000383902
53,40.4854,27.6885,0.000524443
54,39.2366,31.1895,0.000815436
55,38.8567,31.1402,0.000666247
56,39.2987,30.8189,0.000783386
57,38.5698,31.0163,0.000670324
58,38.9171,30.8128,0.000727325
59,39.0012,30.6761,0.000808898
60,38.1615,31.0124,0.000535471
61,38.6258,30.6974,0.000721467
62,38.9921,30.4622,0.00081463
63,37.7126,30.9923,0.000448784
64,38.2186,30.6801,0.000603834
65,38.6357,30.4461,0.000762795
66,37.329,30.9995,0.000429325
67,37.8047,30.6562,0.000514718
68,37.0166,31.0182,0.000556682
69,38.6564,30.1081,0.000809631
70,36.7119,30.9833,0.000515384
71,37.3409,30.6402,0.000434016
72,37.9589,30.3032,0.000499786
73,37.7922,30.3044,0.000485091
