x,y,z
x,y,z
41.085,31.1831,-73.8922,
40.6544,31.167,-73.8987,
41.07,30.8143,-73.9369,
40.3472,31.1222,-73.9935,
40.7203,30.8086,-73.9309,
40.0435,31.1091,-73.9785,
40.3666,30.8205,-73.9443,
40.7332,30.5302,-73.9419,
39.6332,31.0558,-73.987,
39.9836,30.7974,-73.9663,
39.7032,30.9135,-73.9782,
41.0854,30.1413,-74.0068,
40.3899,30.4487,-74.0447,
39.6442,30.8095,-74.063,
40.0551,30.4488,-74.0648,
40.6855,30.116,-73.9483,
40.3854,30.1416,-74.12,
39.5903,30.4176,-74.0197,
40.8056,29.7297,-74.067,
40.0375,30.0777,-74.1046,
39.3452,30.4334,-74.0846,
40.3716,29.7641,-74.0451,
39.6966,30.0544,-74.142,
40.0705,29.8433,-74.1313,
40.8518,29.4298,-74.1031,
40.4466,29.4283,-74.1062,
39.7138,29.7565,-74.1232,
40.924,29.1066,-74.0858,
39.0612,30.0491,-74.0818,
39.9474,29.3894,-73.8924,
39.2618,29.7205,-74.0284,
40.8893,28.8035,-74.062,
40.3689,29.063,-73.8849,
39.6267,29.3899,-73.9808,
39.9452,29.0324,-73.829,
40.4362,28.7248,-73.8968,
39.2164,29.3395,-73.967,
39.2403,29.2178,-73.8382,
39.6195,29.0113,-73.9842,
38.7247,29.4591,-74.3789,
38.9362,29.3496,-74.2158,
40.7124,28.3583,-73.9515,
39.9424,28.6704,-73.8413,
39.2569,28.998,-74.0275,
40.3372,28.3433,-73.8912,
39.6485,28.6306,-74.0561,
40.7458,28.0426,-73.9969,
38.8253,28.9922,-74.2217,
39.9913,28.3387,-73.9917,
39.3166,28.6452,-74.1204,
40.3462,28.0601,-74.0259,
39.6938,28.387,-74.1485,
38.4496,28.9863,-74.4159,
40.8353,27.69,-74.1011,
38.9679,28.6551,-74.2126,
39.363,28.3792,-74.1755,
39.977,28.0056,-73.9644,
40.4854,27.6885,-74.1948,
39.2366,31.1895,-74.0325,
38.8567,31.1402,-74.0871,
39.2987,30.8189,-74.0904,
38.5698,31.0163,-74.1536,
38.9171,30.8128,-74.1529,
39.0012,30.6761,-74.2005,
38.1615,31.0124,-74.0898,
38.6258,30.6974,-74.1801,
38.9921,30.4622,-74.2045,
37.7126,30.9923,-74.0159,
38.2186,30.6801,-74.0949,
38.6357,30.4461,-74.251,
37.329,30.9995,-74.0229,
37.8047,30.6562,-74.0841,
37.0166,31.0182,-74.1151,
38.6564,30.1081,-74.3236,
36.7119,30.9833,-74.1329,
37.3409,30.6402,-74.0237,
37.9589,30.3032,-74.0746,
37.7922,30.3044,-74.0707,
38.2976,30.0326,-74.247,
38.6746,29.8088,-74.3533,
37.2617,30.4825,-73.9467,
