,Element Number,Material Group,ElementType,Node1,Node2,Node3,Node4,eam,Element Centre x,Element Centre y
0,0,0,quad,0,71,398,70,0.0006102530751377344,-23.377910614013672,30.734500885009766
1,1,0,quad,71,72,399,398,0.0005543170846067369,-23.50637435913086,29.724937438964844
2,2,0,quad,72,73,400,399,0.0005511987837962806,-23.393413543701172,28.71674346923828
3,3,0,quad,73,74,401,400,0.00041596931987442076,-23.313020706176758,27.71461296081543
4,4,0,quad,74,75,402,401,0.00047106167767196894,-23.55417823791504,26.666067123413086
5,5,0,quad,75,76,403,402,0.000401092431275174,-23.464723587036133,25.708843231201172
6,6,0,quad,76,77,404,403,0.00045838873484171927,-23.329063415527344,24.711002349853516
7,7,0,quad,77,78,405,404,0.0003416414256207645,-23.36928939819336,23.69536781311035
8,8,0,quad,78,79,406,405,0.00029876752523705363,-23.363637924194336,22.613449096679688
9,9,0,quad,79,80,407,406,0.0002578533021733165,-23.344810485839844,21.68553352355957
10,10,0,quad,80,81,408,407,0.000237551677855663,-23.336488723754883,20.602155685424805
11,11,0,quad,81,82,409,408,0.0003508162626530975,-23.427658081054688,19.600116729736328
12,12,0,quad,82,83,410,409,0.0004462146607693285,-23.534311294555664,18.597990036010742
13,13,0,quad,83,84,411,410,0.0004264527524355799,-23.391700744628906,17.713275909423828
14,14,0,quad,84,85,412,411,0.0006214336608536541,-23.46755027770996,16.84368896484375
15,15,0,quad,85,86,413,412,0.0004976940108463168,-23.542322158813477,15.73932933807373
16,16,0,quad,86,87,414,413,0.0005967384786345065,-23.449312210083008,14.731012344360352
17,17,0,quad,87,88,415,414,0.0005830408190377057,-23.344833374023438,13.736183166503906
18,18,0,quad,88,89,416,415,0.0005916453083045781,-23.480485916137695,12.75890064239502
19,19,0,quad,89,90,417,416,0.0007162652327679098,-23.35496711730957,11.721783638000488
20,20,0,quad,90,91,418,417,0.0006799818947911263,-23.39347267150879,10.680387496948242
21,21,0,quad,91,92,419,418,0.0006968543748371303,-23.397842407226562,9.857951164245605
22,22,0,quad,92,93,420,419,0.0005866062710992992,-23.493560791015625,8.768951416015625
23,23,0,quad,93,94,421,420,0.0005916722002439201,-23.392566680908203,7.790483474731445
24,24,0,quad,94,95,422,421,0.0004921265644952655,-23.356258392333984,6.7737555503845215
25,25,0,quad,95,96,423,422,0.0004912979202345014,-23.467212677001953,5.7156572341918945
