,Material Group,Element Number,Node1,Node2,Node3,Node4,Element Centre x-Coordinate,Element Centre y-Coordinate,Element Centre z-Coordinate,Dunno,Dunno2,aperture
0,0,0,0,71,398,70,-23.4233,30.7218,0,0,4,0.000580195
4263,0,1,71,72,399,398,-23.4233,29.7218,0,0,4,0.000537276
4274,0,2,72,73,400,399,-23.4233,28.7218,0,0,4,0.000552442
4286,0,3,73,74,401,400,-23.4233,27.7218,0,0,4,0.000348427
4298,0,4,74,75,402,401,-23.4233,26.7218,0,0,4,0.000471921
4310,0,5,75,76,403,402,-23.4233,25.7218,0,0,4,0.000345412
4322,0,6,76,77,404,403,-23.4233,24.7218,0,0,4,0.000443006
4334,0,7,77,78,405,404,-23.4233,23.7218,0,0,4,0.000309488
4345,0,8,78,79,406,405,-23.4233,22.7218,0,0,4,0.000335973
4357,0,9,79,80,407,406,-23.4233,21.7218,0,0,4,0.000206974
4370,0,10,80,81,408,407,-23.4233,20.7218,0,0,4,0.00026139
4382,0,11,81,82,409,408,-23.4233,19.7218,0,0,4,0.000368206
4394,0,12,82,83,410,409,-23.4233,18.7218,0,0,4,0.00043277
4406,0,13,83,84,411,410,-23.4233,17.7218,0,0,4,0.000402393
4417,0,14,84,85,412,411,-23.4233,16.7218,0,0,4,0.000739938
4429,0,15,85,86,413,412,-23.4233,15.7218,0,0,4,0.000501755
4441,0,16,86,87,414,413,-23.4233,14.7218,0,0,4,0.00067387
4453,0,17,87,88,415,414,-23.4233,13.7218,0,0,4,0.000558739
4465,0,18,88,89,416,415,-23.4233,12.7218,0,0,4,0.00065484
4477,0,19,89,90,417,416,-23.4233,11.7218,0,0,4,0.000709403
4490,0,20,90,91,418,417,-23.4233,10.7218,0,0,4,0.000639138
4501,0,21,91,92,419,418,-23.4233,9.7218,0,0,4,0.000685036
4513,0,22,92,93,420,419,-23.4233,8.7218,0,0,4,0.000528695
4525,0,23,93,94,421,420,-23.4233,7.7218,0,0,4,0.000587039
4537,0,24,94,95,422,421,-23.4233,6.7218,0,0,4,0.000490723
4549,0,25,95,96,423,422,-23.4233,5.7218,0,0,4,0.000428079
