,MaterialGroup,ElementNumber,Node1,Node2,Node3,Node4,ElementCentreX-Coordinate,ElementCentreY-Coordinate,ElementCentreZ-Coordinate,Dunno,Dunno2,GridX-coordinate,GridY-coordinate,aperture_eam,ElementCentreX,ElementCentreY
0,0,0,0,71,398,70,-23.423299999999,30.7218000000014,0,0,4.0,4.0,63.0,0.000610253111111111,-23.37791111111111,30.7345
4263,0,1,71,72,399,398,-23.423299999999,29.7218000000041,0,0,4.0,4.0,62.0,0.000554317125,-23.506375,29.724937500000003
4274,0,2,72,73,400,399,-23.4232999999991,28.7218000000069,0,0,4.0,4.0,61.0,0.0005511987777777777,-23.393411111111114,28.716744444444444
4286,0,3,73,74,401,400,-23.4232999999991,27.7218000000096,0,0,4.0,4.0,60.0,0.0004159693333333333,-23.313022222222223,27.714611111111115
4298,0,4,74,75,402,401,-23.4232999999991,26.7218000000123,0,0,4.0,4.0,59.0,0.00047106166666666664,-23.554177777777777,26.666066666666662
4310,0,5,75,76,403,402,-23.4232999999992,25.721800000015,0,0,4.0,4.0,58.0,0.00040109244444444444,-23.46472222222222,25.70884444444444
4322,0,6,76,77,404,403,-23.4232999999992,24.7218000000177,0,0,4.0,4.0,57.0,0.00045838875,-23.3290625,24.711000000000002
4334,0,7,77,78,405,404,-23.4232999999992,23.7218000000205,0,0,4.0,4.0,56.0,0.00034164144444444447,-23.36928888888889,23.69536666666667
4345,0,8,78,79,406,405,-23.4232999999993,22.7218000000232,0,0,4.0,4.0,55.0,0.0002987675,-23.36364,22.61345
4357,0,9,79,80,407,406,-23.4232999999993,21.721800000026,0,0,4.0,4.0,54.0,0.0002578533333333333,-23.34481111111111,21.685533333333332
4370,0,10,80,81,408,407,-23.4232999999994,20.7218000000287,0,0,4.0,4.0,53.0,0.00023755165888888891,-23.33648888888889,20.602155555555555
4382,0,11,81,82,409,408,-23.4232999999994,19.7218000000314,0,0,4.0,4.0,52.0,0.00035081625000000003,-23.42765833333333,19.60011666666667
4394,0,12,82,83,410,409,-23.4232999999994,18.7218000000342,0,0,4.0,4.0,51.0,0.00044621466666666665,-23.534311111111112,18.59798888888889
4406,0,13,83,84,411,410,-23.4232999999995,17.7218000000369,0,0,4.0,4.0,50.0,0.00042645275,-23.3917,17.713275000000003
4417,0,14,84,85,412,411,-23.4232999999995,16.7218000000396,0,0,4.0,4.0,49.0,0.0006214336,-23.467550000000006,16.843690000000002
4429,0,15,85,86,413,412,-23.4232999999995,15.7218000000423,0,0,4.0,4.0,48.0,0.000497694,-23.542319999999997,15.73933
4441,0,16,86,87,414,413,-23.4232999999996,14.7218000000451,0,0,4.0,4.0,47.0,0.0005967385,-23.449312499999998,14.731012499999999
4453,0,17,87,88,415,414,-23.4232999999996,13.7218000000478,0,0,4.0,4.0,46.0,0.0005830408333333334,-23.344833333333337,13.736183333333335
4465,0,18,88,89,416,415,-23.4232999999996,12.7218000000505,0,0,4.0,4.0,45.0,0.0005916452857142856,-23.480485714285717,12.7589
4477,0,19,89,90,417,416,-23.4232999999997,11.7218000000533,0,0,4.0,4.0,44.0,0.0007162651666666667,-23.35496666666667,11.721783333333333
4490,0,20,90,91,418,417,-23.4232999999997,10.721800000056,0,0,4.0,4.0,43.0,0.0006799818749999999,-23.393475000000002,10.6803875
4501,0,21,91,92,419,418,-23.4232999999998,9.72180000005868,0,0,4.0,4.0,42.0,0.0006968544285714286,-23.39784285714286,9.857951428571427
4513,0,22,92,93,420,419,-23.4232999999998,8.72180000006142,0,0,4.0,4.0,41.0,0.00058660625,-23.4935625,8.76895125
4525,0,23,93,94,421,420,-23.4232999999998,7.72180000006415,0,0,4.0,4.0,40.0,0.0005916722222222223,-23.392566666666667,7.790483333333333
4537,0,24,94,95,422,421,-23.4232999999999,6.72180000006688,0,0,4.0,4.0,39.0,0.0004921265714285715,-23.356257142857142,6.773755714285714
4549,0,25,95,96,423,422,-23.4232999999999,5.7218000000696,0,0,4.0,4.0,38.0,0.0004912978571428571,-23.467214285714284,5.715657142857142
4561,0,26,96,97,424,423,-23.4233,4.72180000007233,0,0,4.0,4.0,37.0,0.0006346245,-23.402,4.70934
4572,0,27,97,98,425,424,-23.4233,3.72180000007506,0,0,4.0,4.0,36.0,0.00057852725,-23.429174999999997,3.724165
4584,0,28,98,99,426,425,-23.4233,2.72180000007778,0,0,4.0,4.0,35.0,0.0005355115555555556,-23.291822222222223,2.6975755555555554
4596,0,29,99,100,427,426,-23.4233000000001,1.72180000008051,0,0,4.0,4.0,34.0,0.000534351875,-23.486787500000002,1.6945212499999995
5,0,30,100,101,428,427,-23.4233000000001,0.721800000083243,0,0,4.0,4.0,33.0,0.0005918361111111112,-23.45171111111111,0.6926647777777778
17,0,31,101,102,429,428,-23.4233000000001,-0.278199999914373,0,0,4.0,4.0,32.0,0.000693796625,-23.375262499999998,-0.3190936625
29,0,32,102,103,430,429,-23.4233000000002,-1.27819999991437,0,0,4.0,4.0,31.0,0.0006637082499999999,-23.426412500000005,-1.237113875
40,0,33,103,104,431,430,-23.4233000000002,-2.27819999991676,0,0,4.0,4.0,30.0,0.0006323909000000001,-23.41125,-2.158085
52,0,34,104,105,432,431,-23.4233000000003,-3.27819999991949,0,0,4.0,4.0,29.0,0.0004596628888888889,-23.417022222222222,-3.2828588888888883
64,0,35,105,106,433,432,-23.4233000000003,-4.27819999992222,0,0,4.0,4.0,28.0,0.000457951,-23.48323333333333,-4.319375
76,0,36,106,107,434,433,-23.4233000000003,-5.27819999992495,0,0,4.0,4.0,27.0,0.0006352848749999999,-23.309450000000002,-5.298815
